duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
28 minutes,5,Powell St BART Station (Market St at 5th St),5,Powell St BART Station (Market St at 5th St),4773,Customer,1986,Male,26.0
26 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),96,Dolores St at 15th St,4977,Customer,1994,Male,29.0
20 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,4608,Customer,1993,Female,27.0
7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4450,Customer,1996,Female,26.0
14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),59,S Van Ness Ave at Market St,5422,Subscriber,1989,Male,27.0
19 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,5166,Customer,1990,Male,29.0
7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4825,Subscriber,1996,Male,26.0
117 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4648,Customer,1990,Female,27.0
20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),39,Scott St at Golden Gate Ave,5383,Subscriber,1983,Female,29.0
117 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4758,Customer,1990,Female,29.0
